state,year,month,period,indicator,data_value,percent_complete,percent_pending_investigation,state_name,footnote,footnote_symbol,predicted_value
AK,2015,December,12 month-ending,Percent with drugs specified,89.25619835,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,December,12 month-ending,Number of Drug Overdose Deaths,121,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,122
AK,2015,December,12 month-ending,Number of Deaths,4193,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,December,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",0,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,December,12 month-ending,Methadone (T40.3),0,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,December,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",0,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,December,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",0,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,December,12 month-ending,Psychostimulants with abuse potential (T43.6),0,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,December,12 month-ending,Natural & semi-synthetic opioids (T40.2),0,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,December,12 month-ending,Heroin (T40.1),0,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,December,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",0,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,December,12 month-ending,Cocaine (T40.5),0,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).  Data not shown due to low data quality.,**,
AK,2016,December,12 month-ending,Methadone (T40.3),14,100,0.068886338,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,15
AK,2016,December,12 month-ending,Cocaine (T40.5),15,100,0.068886338,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,16
AK,2016,December,12 month-ending,Natural & semi-synthetic opioids (T40.2),46,100,0.068886338,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,47
AK,2016,December,12 month-ending,Heroin (T40.1),49,100,0.068886338,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,50
