Region,Drugs_Drinking,Eat,Nothing,Other,Talk_to_Friends,Work_out
Alabama,45,62,84,57,90,59
Alaska,7,19,27,27,18,23
Arizona,64,99,84,85,114,108
Arkansas,34,78,65,58,92,52
California,154,210,169,182,260,156
Colorado,178,262,212,211,282,241
Connecticut,40,73,70,53,126,64
Delaware,1,5,3,1,8,2
District of Columbia,44,88,81,59,82,54
Florida,300,497,475,412,634,454
Georgia,189,364,284,262,397,249
Hawaii,1,3,1,1,1,5
Idaho,34,64,59,52,64,51
Illinois,177,330,264,246,358,239
Indiana,55,150,129,138,194,116
Iowa,46,88,64,51,87,39
Kansas,57,85,92,61,92,65
Kentucky,49,80,91,82,100,62
Louisiana,59,109,87,85,112,81
Maine,55,89,76,60,94,54
Maryland,42,96,105,78,116,54
Massachusetts,45,81,78,90,116,66
Michigan,107,179,154,148,197,114
Minnesota,49,135,68,89,121,74
Mississippi,23,58,54,56,62,30
Missouri,89,182,141,152,193,110
Montana,31,43,34,23,29,27
Nebraska,56,102,86,83,116,87
Nevada,26,44,28,33,60,36
New Hampshire,36,75,58,46,77,44
New Jersey,59,112,85,87,112,84
New Mexico,20,30,19,38,35,22
New York,106,233,173,191,245,147
North Carolina,100,197,174,172,262,169
North Dakota,15,32,31,18,24,26
Ohio,110,280,207,203,287,154
Oklahoma,69,135,134,111,124,107
Oregon,42,77,78,65,104,67
Pennsylvania,96,225,204,163,244,125
Rhode Island,9,20,12,15,17,17
South Carolina,34,91,51,47,83,53
South Dakota,23,38,21,37,39,16
Tennessee,113,165,161,174,224,122
Texas,332,534,488,476,628,435
Utah,62,83,85,92,132,81
Vermont,23,36,25,23,48,18
Virginia,58,102,99,89,124,70
Washington,83,117,125,92,143,114
West Virginia,29,64,61,32,52,22
Wisconsin,64,135,94,98,168,89
Wyoming,29,35,27,30,27,19
