state,year,month,period,indicator,data_value,percent_complete,percent_pending_investigation,state_name,footnote,footnote_symbol,predicted_value
AK,2015,April,12 month-ending,Percent with drugs specified,88.0952381,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,April,12 month-ending,Number of Drug Overdose Deaths,126,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,127
AK,2015,April,12 month-ending,Number of Deaths,4133,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,April,12 month-ending,Psychostimulants with abuse potential (T43.6),0,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,April,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",0,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,April,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",0,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,April,12 month-ending,Methadone (T40.3),0,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).  Data not shown due to low data quality.,**,
AK,2015,April,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",0,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,April,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",0,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,April,12 month-ending,Heroin (T40.1),0,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,April,12 month-ending,Natural & semi-synthetic opioids (T40.2),0,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,April,12 month-ending,Cocaine (T40.5),0,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2015,April,12 month-ending,Percent with drugs specified,49.32249322,100,0.316424404,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,
AL,2015,April,12 month-ending,Number of Drug Overdose Deaths,738,100,0.316424404,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,773
AL,2015,April,12 month-ending,Number of Deaths,50565,100,0.316424404,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,
AR,2015,April,12 month-ending,Percent with drugs specified,74.5308311,100,0.039416634,Arkansas,Numbers may differ from published reports using final data. See Technical Notes.,**,
AR,2015,April,12 month-ending,Number of Drug Overdose Deaths,373,100,0.039416634,Arkansas,Numbers may differ from published reports using final data. See Technical Notes.,**,376
AR,2015,April,12 month-ending,Number of Deaths,30444,100,0.039416634,Arkansas,Numbers may differ from published reports using final data. See Technical Notes.,**,
AZ,2015,April,12 month-ending,Percent with drugs specified,73.82779199,100,0.341348421,Arizona,Numbers may differ from published reports using final data. See Technical Notes.,**,
AZ,2015,April,12 month-ending,Number of Drug Overdose Deaths,1173,100,0.341348421,Arizona,Numbers may differ from published reports using final data. See Technical Notes.,**,1233
AZ,2015,April,12 month-ending,Number of Deaths,53025,100,0.341348421,Arizona,Numbers may differ from published reports using final data. See Technical Notes.,**,
AZ,2015,April,12 month-ending,Psychostimulants with abuse potential (T43.6),0,100,0.341348421,Arizona,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AZ,2015,April,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",0,100,0.341348421,Arizona,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AZ,2015,April,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",0,100,0.341348421,Arizona,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AZ,2015,April,12 month-ending,Methadone (T40.3),0,100,0.341348421,Arizona,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AZ,2015,April,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",0,100,0.341348421,Arizona,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AZ,2015,April,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",0,100,0.341348421,Arizona,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AZ,2015,April,12 month-ending,Heroin (T40.1),0,100,0.341348421,Arizona,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AZ,2015,April,12 month-ending,Natural & semi-synthetic opioids (T40.2),0,100,0.341348421,Arizona,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AZ,2015,April,12 month-ending,Cocaine (T40.5),0,100,0.341348421,Arizona,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
CA,2015,April,12 month-ending,Percent with drugs specified,78.31351351,100,0.22267839,California,Numbers may differ from published reports using final data. See Technical Notes.,**,
CA,2015,April,12 month-ending,Number of Drug Overdose Deaths,4625,100,0.22267839,California,Numbers may differ from published reports using final data. See Technical Notes.,**,4778
CA,2015,April,12 month-ending,Number of Deaths,252831,100,0.22267839,California,Numbers may differ from published reports using final data. See Technical Notes.,**,
CO,2015,April,12 month-ending,Percent with drugs specified,81.68421053,100,0.021857326,Colorado,Numbers may differ from published reports using final data. See Technical Notes.,**,
CO,2015,April,12 month-ending,Number of Drug Overdose Deaths,950,100,0.021857326,Colorado,Numbers may differ from published reports using final data. See Technical Notes.,**,955
CO,2015,April,12 month-ending,Number of Deaths,36601,100,0.021857326,Colorado,Numbers may differ from published reports using final data. See Technical Notes.,**,
CT,2015,April,12 month-ending,Psychostimulants with abuse potential (T43.6),13,100,0.009858368,Connecticut,Numbers may differ from published reports using final data. See Technical Notes.,**,14
CT,2015,April,12 month-ending,Methadone (T40.3),57,100,0.009858368,Connecticut,Numbers may differ from published reports using final data. See Technical Notes.,**,58
CT,2015,April,12 month-ending,Percent with drugs specified,99.69230769,100,0.009858368,Connecticut,Numbers may differ from published reports using final data. See Technical Notes.,**,
CT,2015,April,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",121,100,0.009858368,Connecticut,Numbers may differ from published reports using final data. See Technical Notes.,**,122
CT,2015,April,12 month-ending,Cocaine (T40.5),125,100,0.009858368,Connecticut,Numbers may differ from published reports using final data. See Technical Notes.,**,132
CT,2015,April,12 month-ending,Natural & semi-synthetic opioids (T40.2),164,100,0.009858368,Connecticut,Numbers may differ from published reports using final data. See Technical Notes.,**,165
CT,2015,April,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",207,100,0.009858368,Connecticut,Numbers may differ from published reports using final data. See Technical Notes.,**,209
CT,2015,April,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",302,100,0.009858368,Connecticut,Numbers may differ from published reports using final data. See Technical Notes.,**,304
CT,2015,April,12 month-ending,Heroin (T40.1),306,100,0.009858368,Connecticut,Numbers may differ from published reports using final data. See Technical Notes.,**,307
CT,2015,April,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",550,100,0.009858368,Connecticut,Numbers may differ from published reports using final data. See Technical Notes.,**,552
CT,2015,April,12 month-ending,Number of Drug Overdose Deaths,650,100,0.009858368,Connecticut,Numbers may differ from published reports using final data. See Technical Notes.,**,652
CT,2015,April,12 month-ending,Number of Deaths,30431,100,0.009858368,Connecticut,Numbers may differ from published reports using final data. See Technical Notes.,**,
DC,2015,April,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",20,100,0.139372822,District of Columbia,Numbers may differ from published reports using final data. See Technical Notes.,**,21
DC,2015,April,12 month-ending,Natural & semi-synthetic opioids (T40.2),20,100,0.139372822,District of Columbia,Numbers may differ from published reports using final data. See Technical Notes.,**,21
DC,2015,April,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",24,100,0.139372822,District of Columbia,Numbers may differ from published reports using final data. See Technical Notes.,**,25
DC,2015,April,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",39,100,0.139372822,District of Columbia,Numbers may differ from published reports using final data. See Technical Notes.,**,40
DC,2015,April,12 month-ending,Cocaine (T40.5),43,100,0.139372822,District of Columbia,Numbers may differ from published reports using final data. See Technical Notes.,**,46
DC,2015,April,12 month-ending,Heroin (T40.1),52,100,0.139372822,District of Columbia,Numbers may differ from published reports using final data. See Technical Notes.,**,54
DC,2015,April,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",80,100,0.139372822,District of Columbia,Numbers may differ from published reports using final data. See Technical Notes.,**,82
DC,2015,April,12 month-ending,Percent with drugs specified,100,100,0.139372822,District of Columbia,Numbers may differ from published reports using final data. See Technical Notes.,**,
DC,2015,April,12 month-ending,Number of Drug Overdose Deaths,113,100,0.139372822,District of Columbia,Numbers may differ from published reports using final data. See Technical Notes.,**,116
DC,2015,April,12 month-ending,Number of Deaths,5740,100,0.139372822,District of Columbia,Numbers may differ from published reports using final data. See Technical Notes.,**,
DC,2015,April,12 month-ending,Psychostimulants with abuse potential (T43.6),0,100,0.139372822,District of Columbia,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,
DC,2015,April,12 month-ending,Methadone (T40.3),0,100,0.139372822,District of Columbia,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,
DE,2015,April,12 month-ending,Percent with drugs specified,80,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.,**,
DE,2015,April,12 month-ending,Number of Drug Overdose Deaths,200,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.,**,201
DE,2015,April,12 month-ending,Number of Deaths,8580,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.,**,
DE,2015,April,12 month-ending,Psychostimulants with abuse potential (T43.6),0,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).  Data not shown due to low data quality.,**,
DE,2015,April,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",0,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,April,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",0,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,April,12 month-ending,Methadone (T40.3),0,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,April,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",0,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,April,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",0,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
